ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403	ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403
ERZ940822.100608,0,8504,UniRef50_UPI000DC25B92,460,3736	ERZ940822.100608,0,8504,UniRef50_UPI000DC25B92,460,3736
ERZ914867.10236,0,5683,UniRef50_A0A1M7G246,983,4832	ERZ914867.10236,0,5683,UniRef50_A0A1M7G246,983,4832
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ941905.47053,0,30509,UniRef50_A0A1D9P5I8,15445,19234
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ916030.47654,0,22581,UniRef50_A0A1D9P5I8,8145,11934
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ941967.6750,0,46805,UniRef50_A0A1D9P5I8,23852,27641
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ942052.7210,0,46783,UniRef50_A0A1D9P5I8,23832,27621
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ENA|OVSX01000455|OVSX01000455.1,6254,37082,UniRef50_A0A1D9P5I8,10460,14249
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ942141.14280,0,30937,UniRef50_A0A1D9P5I8,24425,28214
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ENA|OKXB01000779|OKXB01000779.1,6441,36798,UniRef50_A0A1D9P5I8,9671,13460
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ918932.19334,6720,37729,UniRef50_A0A1D9P5I8,9954,13743
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ918330.70272,2723,33294,UniRef50_A0A1D9P5I8,5954,9743
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ERZ919811.27557,6467,42473,UniRef50_A0A1D9P5I8,10674,14463
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ENA|OVYI01000441|OVYI01000441.1,3784,49220,UniRef50_A0A1D9P5I8,14844,18633
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ENA|OGGO01000526|OGGO01000526.1,0,36201,UniRef50_A0A1D9P5I8,23896,27685
ERZ942417.37999,0,19656,UniRef50_A0A1D9P5I8,14686,18475	ENA|OVYI01000441|OVYI01000441.1,7856,49220,UniRef50_A0A1D9P5I8,14844,18633
ERZ922489.223,111807,157045,UniRef50_A0A2N2WBK1,146881,150631	ERZ922489.223,111807,157045,UniRef50_A0A2N2WBK1,146881,150631
ERZ918312.31511,83321,109057,UniRef50_A0A1T4JZ89,85900,89584	ERZ918312.31511,83321,109057,UniRef50_A0A1T4JZ89,85900,89584
ERZ918312.31511,83321,109057,UniRef50_A0A1T4JZ89,85900,89584	ENA|OIWT01001840|OIWT01001840.1,0,23811,UniRef50_A0A1T4JZ89,19905,23589
ENA|UPOL01000313|UPOL01000313.1,0,29752,UniRef50_A0A1T4JZ89,21329,25013	ENA|UPOL01000313|UPOL01000313.1,0,29752,UniRef50_A0A1T4JZ89,21329,25013
ERZ919114.29,18088,68486,UniRef50_UPI000CEBE9AF,34112,38027	ERZ919114.29,18088,68486,UniRef50_UPI000CEBE9AF,34112,38027
ERZ919114.29,18088,68486,UniRef50_UPI000CEBE9AF,34112,38027	ERZ919298.632,0,40625,UniRef50_UPI000B9682B4,28480,32395
ERZ919298.993,0,45425,UniRef50_A0A2G9P931,31075,35179	ERZ919298.993,0,45425,UniRef50_A0A2G9P931,31075,35179
ERZ986267.21037,0,14350,UniRef50_A0A413P550,5,3014	ERZ986267.21037,0,14350,UniRef50_A0A413P550,5,3014
ERZ919342.8364,0,9036,UniRef50_A0A1T4JZ89,1756,5563	ERZ919342.8364,0,9036,UniRef50_A0A1T4JZ89,1756,5563
ERZ959564.9014,0,10733,UniRef50_A0A4P8XWX8,6941,10661	ERZ959564.9014,0,10733,UniRef50_A0A4P8XWX8,6941,10661
NZ_KB899920.1,0,68890,UniRef50_A0A482D511,39795,43890	NZ_KB899920.1,0,68890,UniRef50_A0A482D511,39795,43890
ENA|NHZP01000037|NHZP01000037.1,161879,251704,UniRef50_A0A2M8KVT8,172575,178413	ENA|NHZP01000037|NHZP01000037.1,161879,251704,UniRef50_A0A2M8KVT8,172575,178413
ENA|MIAN01000063|MIAN01000063.1,0,29828,UniRef50_T0D7A2,7668,11028	ENA|MIAN01000063|MIAN01000063.1,0,29828,UniRef50_T0D7A2,7668,11028
ERZ922488.3141,0,14493,UniRef50_A0A1T4JZ89,6318,10026	ERZ922488.3141,0,14493,UniRef50_A0A1T4JZ89,6318,10026
ERZ922488.3141,0,14493,UniRef50_A0A1T4JZ89,6318,10026	ERZ931635.17004,0,11266,UniRef50_A0A1T4JZ89,7116,10830
ERZ922488.3141,0,14493,UniRef50_A0A1T4JZ89,6318,10026	ERZ922474.3194,0,17480,UniRef50_A0A1T4JZ89,5460,9168
ERZ1191352.35,0,37410,UniRef50_A0A2N2WBK1,27070,30901	ERZ1191352.35,0,37410,UniRef50_A0A2N2WBK1,27070,30901
ERZ916096.76542,0,26923,UniRef50_UPI0009FD9FDB,2119,5131	ERZ916096.76542,0,26923,UniRef50_UPI0009FD9FDB,2119,5131
ERZ916096.76542,0,26923,UniRef50_UPI0009FD9FDB,2119,5131	ENA|UYEB01000127|UYEB01000127.1,0,26738,UniRef50_UPI0009FD9FDB,1934,4946
ERZ920187.8997,0,9352,UniRef50_A0A1M7G246,4646,8402	ERZ920187.8997,0,9352,UniRef50_A0A1M7G246,4646,8402
ERZ920187.8997,0,9352,UniRef50_A0A1M7G246,4646,8402	ERZ920183.24990,0,5223,UniRef50_A0A1M7G246,1238,4994
ERZ920187.8997,0,9352,UniRef50_A0A1M7G246,4646,8402	ERZ920246.11072,0,13296,UniRef50_A0A1M7G246,6844,10600
ERZ920187.8997,0,9352,UniRef50_A0A1M7G246,4646,8402	ERZ919338.42,0,77434,UniRef50_A0A1M7G246,29159,32915
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|UXRF01000083|UXRF01000083.1,67084,107093,UniRef50_A0A1D9P5I8,67162,70957
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	Ga0243789_1000042,103566,155288,UniRef50_A0A1D9P5I8,150622,154417
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918353.48623,0,29058,UniRef50_A0A1D9P5I8,24119,27914
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|UYCU01000041|UYCU01000041.1,10752,81244,UniRef50_A0A1D9P5I8,22171,25966
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OOTA01000007|OOTA01000007.1,3067,91864,UniRef50_A0A1D9P5I8,87463,91258
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|ODHT01000774|ODHT01000774.1,1329,28067,UniRef50_A0A1D9P5I8,12941,16736
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OGOA01000013|OGOA01000013.1,0,68041,UniRef50_A0A1D9P5I8,28847,32627
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OPCD01000066|OPCD01000066.1,29567,71166,UniRef50_A0A1D9P5I8,30912,34707
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|UXSP01000046|UXSP01000046.1,12190,45063,UniRef50_A0A1D9P5I8,12795,16590
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ857996.451,29926,58911,UniRef50_A0A1D9P5I8,31069,34864
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ914658.69675,7781,36923,UniRef50_A0A1D9P5I8,8922,12717
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ857994.88,112371,149208,UniRef50_A0A1D9P5I8,114299,118094
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|ORUO01000399|ORUO01000399.1,0,25858,UniRef50_A0A1D9P5I8,20788,24583
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ919609.55974,0,25893,UniRef50_A0A1D9P5I8,20823,24618
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|UXQL01000482|UXQL01000482.1,0,43279,UniRef50_A0A1D9P5I8,10382,14177
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OLQX01000330|OLQX01000330.1,0,58099,UniRef50_A0A1D9P5I8,31485,35265
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OIXG01000065|OIXG01000065.1,0,40546,UniRef50_A0A1D9P5I8,35471,39266
